title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
"Notice of Inventory Completion: Arizona State Museum, University of Arizona, Tucson, AZ; Correction",Notice,Interior Department; National Park Service,"The Arizona State Museum, University of Arizona has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on September 10, 2014. This notice corrects the minimum number of individuals and number of associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Arizona State Museum, University of Arizona. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-16687,https://www.federalregister.gov/documents/2019/08/05/2019-16687/notice-of-inventory-completion-arizona-state-museum-university-of-arizona-tucson-az-correction,https://www.govinfo.gov/content/pkg/FR-2019-08-05/pdf/2019-16687.pdf,08/05/2019
"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Possession of the University of Denver Department of Anthropology and Museum of Anthropology, Denver Colorado, CO; Correction; Correction",Notice,Interior Department; National Park Service,"The University of Denver Museum of Anthropology has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on November 13, 2000. This notice corrects the cultural affiliation. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the University of Denver Museum of Anthropology. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-08741,https://www.federalregister.gov/documents/2019/04/30/2019-08741/notice-of-inventory-completion-for-native-american-human-remains-and-associated-funerary-objects-in,https://www.govinfo.gov/content/pkg/FR-2019-04-30/pdf/2019-08741.pdf,04/30/2019
"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Lake Meredith National Recreation Area, Fritch, TX; Correction; Correction",Notice,Interior Department; National Park Service,"The U.S. Department of the Interior, National Park Service, Lake Meredith National Recreation Area has completed an inventory of human remains and associated funerary objects, in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is a cultural affiliation between the human remains and associated funerary objects and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to Lake Meredith National Recreation Area. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2020-01355,https://www.federalregister.gov/documents/2020/01/28/2020-01355/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-lake-meredith,https://www.govinfo.gov/content/pkg/FR-2020-01-28/pdf/2020-01355.pdf,01/28/2020
"Notice of Inventory Completion: The State Center Community College District-Fresno City College, Fresno, CA; Correction",Notice,Interior Department; National Park Service,"The State Center Community College District--Fresno City College has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on August 23, 2018. This notice corrects the number of associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the State Center Community College District--Fresno City College. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-08229,https://www.federalregister.gov/documents/2019/04/24/2019-08229/notice-of-inventory-completion-the-state-center-community-college-district-fresno-city-college,https://www.govinfo.gov/content/pkg/FR-2019-04-24/pdf/2019-08229.pdf,04/24/2019
"Notice of Inventory Completion: U.S. Army Corps of Engineers, Omaha District, Omaha, NE, and State Archaeological Research Center, Rapid City, SD; Correction",Notice,Interior Department; National Park Service,"The U.S. Army Corps of Engineers, Omaha District (Omaha District) has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on April 13, 2018. This notice corrects the number of associated funerary objects for site 39WW0003. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these associated funerary objects should submit a written request to the Omaha District. If no additional requestors come forward, transfer of control of the associated funerary objects to the lineal descendants, Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2019-08225,https://www.federalregister.gov/documents/2019/04/24/2019-08225/notice-of-inventory-completion-us-army-corps-of-engineers-omaha-district-omaha-ne-and-state,https://www.govinfo.gov/content/pkg/FR-2019-04-24/pdf/2019-08225.pdf,04/24/2019
"Notice of Inventory Completion: The American Museum of Natural History, New York, NY; Correction",Notice,Interior Department; National Park Service,"The American Museum of Natural History has corrected an inventory of human remains and associated funerary objects published in a Notice of Inventory Completion in the Federal Register on September 10, 2018. This notice corrects the number of associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the American Museum of Natural History. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-06004,https://www.federalregister.gov/documents/2019/03/28/2019-06004/notice-of-inventory-completion-the-american-museum-of-natural-history-new-york-ny-correction,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-06004.pdf,03/28/2019
"Notice of Inventory Completion: The University of Alabama Museums, Tuscaloosa, AL; Correction",Notice,Interior Department; National Park Service,"The University of Alabama Museums has corrected an inventory of human remains and associated funerary objects in a Notice of Inventory Completion published in the Federal Register on June 4, 2012. This notice corrects the minimum number of individuals and the number of associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the University of Alabama Museums. If no additional requestors come forward, transfer of control of the human remains and associated objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-05994,https://www.federalregister.gov/documents/2019/03/28/2019-05994/notice-of-inventory-completion-the-university-of-alabama-museums-tuscaloosa-al-correction,https://www.govinfo.gov/content/pkg/FR-2019-03-28/pdf/2019-05994.pdf,03/28/2019
"Notice of Inventory Completion: Tennessee Valley Authority, Knoxville, TN; Correction",Notice,Interior Department; National Park Service,"The Tennessee Valley Authority (TVA) has corrected an inventory of human remains and associated funerary objects published in a Notice of Inventory Completion in the Federal Register on August 22, 2017. This notice corrects the minimum number of individuals. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the TVA. If no additional requestors come forward, transfer of control of the human remains to the Indian Tribes stated in this notice may proceed.", 2019-03589,https://www.federalregister.gov/documents/2019/03/01/2019-03589/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn-correction,https://www.govinfo.gov/content/pkg/FR-2019-03-01/pdf/2019-03589.pdf,03/01/2019
"Notice of Inventory Completion: Tennessee Valley Authority, Knoxville, TN; Correction",Notice,Interior Department; National Park Service,"The Tennessee Valley Authority (TVA) has corrected an inventory of human remains and associated funerary objects published in a Notice of Inventory Completion in the Federal Register on August 22, 2017. This notice corrects the minimum number of individuals. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the TVA. If no additional requestors come forward, transfer of control of the human remains to the Indian Tribes stated in this notice may proceed.", 2019-03576,https://www.federalregister.gov/documents/2019/03/01/2019-03576/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn-correction,https://www.govinfo.gov/content/pkg/FR-2019-03-01/pdf/2019-03576.pdf,03/01/2019
"Notice of Inventory Completion: Tennessee Valley Authority, Knoxville, TN; Correction",Notice,Interior Department; National Park Service,"The Tennessee Valley Authority (TVA) has corrected an inventory of human remains and associated funerary objects published in a Notice of Inventory Completion in the Federal Register on September 16, 2016. This notice corrects the minimum number of individuals. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the TVA. If no additional requestors come forward, transfer of control of the human remains to the Indian Tribes stated in this notice may proceed.", 2019-03585,https://www.federalregister.gov/documents/2019/03/01/2019-03585/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn-correction,https://www.govinfo.gov/content/pkg/FR-2019-03-01/pdf/2019-03585.pdf,03/01/2019
"Notice of Inventory Completion: Tennessee Valley Authority, Knoxville, TN; Correction",Notice,Interior Department; National Park Service,"The Tennessee Valley Authority (TVA) has corrected an inventory of human remains and associated funerary objects published in a Notice of Inventory Completion in the Federal Register on September 5, 2017. This notice corrects the minimum number of individuals. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the TVA. If no additional requestors come forward, transfer of control of the human remains to the Indian Tribes stated in this notice may proceed.", 2019-03586,https://www.federalregister.gov/documents/2019/03/01/2019-03586/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn-correction,https://www.govinfo.gov/content/pkg/FR-2019-03-01/pdf/2019-03586.pdf,03/01/2019
"Notice of Inventory Completion: Tennessee Valley Authority, Knoxville, TN; Correction",Notice,Interior Department; National Park Service,"The Tennessee Valley Authority (TVA) has corrected an inventory of human remains and associated funerary objects published in a Notice of Inventory Completion in the Federal Register on August 22, 2017. This notice corrects the minimum number of individuals. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the TVA. If no additional requestors come forward, transfer of control of the human remains to the Indian Tribe stated in this notice may proceed.", 2019-03572,https://www.federalregister.gov/documents/2019/03/01/2019-03572/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn-correction,https://www.govinfo.gov/content/pkg/FR-2019-03-01/pdf/2019-03572.pdf,03/01/2019
"Notice of Inventory Completion: Tennessee Valley Authority, Knoxville, TN",Notice,Interior Department; National Park Service,"The Tennessee Valley Authority (TVA) has completed an inventory of human remains, in consultation with the appropriate federally recognized Indian Tribes, and has determined that there is a cultural affiliation between the human remains and present-day Indian Tribes or Native Hawaiian organizations. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the TVA. If no additional requestors come forward, transfer of control of the human remains to lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2019-25731,https://www.federalregister.gov/documents/2019/11/27/2019-25731/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn,https://www.govinfo.gov/content/pkg/FR-2019-11-27/pdf/2019-25731.pdf,11/27/2019
"Notice of Inventory Completion: University of California, Santa Cruz, Santa Cruz, CA",Notice,Interior Department; National Park Service,"The University of California, Santa Cruz (U.C. Santa Cruz) has completed an inventory of human remains and associated funerary objects in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is no cultural affiliation between the human remains and associated funerary objects and any present-day Indian Tribes or Native Hawaiian organizations. Representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to U.C. Santa Cruz. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the non-federally recognized Indian group stated in this notice may proceed.", 2019-25734,https://www.federalregister.gov/documents/2019/11/27/2019-25734/notice-of-inventory-completion-university-of-california-santa-cruz-santa-cruz-ca,https://www.govinfo.gov/content/pkg/FR-2019-11-27/pdf/2019-25734.pdf,11/27/2019
"Notice of Inventory Completion: Tennessee Valley Authority, Knoxville, TN",Notice,Interior Department; National Park Service,"The Tennessee Valley Authority (TVA) has completed an inventory of human remains in consultation with the appropriate Indian Tribes and Native Hawaiian organizations, and has determined that there is no cultural affiliation between the human remains and any present- day Indian Tribes or Native Hawaiian organizations. Representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the TVA. If no additional requestors come forward, transfer of control of the human remains to the Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2019-25730,https://www.federalregister.gov/documents/2019/11/27/2019-25730/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn,https://www.govinfo.gov/content/pkg/FR-2019-11-27/pdf/2019-25730.pdf,11/27/2019
"Notice of Inventory Completion: Tennessee Valley Authority, Knoxville, TN",Notice,Interior Department; National Park Service,"The Tennessee Valley Authority (TVA) has completed an inventory of human remains in consultation with the appropriate Indian Tribes or Native Hawaiian organizations, and has determined that there is no cultural affiliation between the human remains and any present- day Indian Tribes or Native Hawaiian organizations. Representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the TVA. If no additional requestors come forward, transfer of control of the human remains to the Indian Tribes or Native Hawaiian organizations stated in this notice may proceed.", 2019-24401,https://www.federalregister.gov/documents/2019/11/08/2019-24401/notice-of-inventory-completion-tennessee-valley-authority-knoxville-tn,https://www.govinfo.gov/content/pkg/FR-2019-11-08/pdf/2019-24401.pdf,11/08/2019
"Notice of Inventory Completion: Beneski Museum of Natural History, Amherst College, Amherst, MA; Correction",Notice,Interior Department; National Park Service,"The Beneski Museum of Natural History, Amherst College (formerly the Pratt Museum of Natural History) has corrected an inventory of human remains, published in a Notice of Inventory Completion in the Federal Register on May 15, 2014. This notice corrects the minimum number of individuals. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the Beneski Museum of Natural History, Amherst College. If no additional requestors come forward, transfer of control of the human remains to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2018-27707,https://www.federalregister.gov/documents/2018/12/21/2018-27707/notice-of-inventory-completion-beneski-museum-of-natural-history-amherst-college-amherst-ma,https://www.govinfo.gov/content/pkg/FR-2018-12-21/pdf/2018-27707.pdf,12/21/2018
"Notice of Inventory Completion: Robert S. Peabody Museum of Archaeology, Andover, MA; Correction",Notice,Interior Department; National Park Service,"The Robert S. Peabody Institute of Archaeology (formerly the Robert S. Peabody Museum of Archaeology) has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on September 13, 2005. This notice corrects the minimum number of individuals and the number of associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Robert S. Peabody Institute of Archaeology. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2018-27709,https://www.federalregister.gov/documents/2018/12/21/2018-27709/notice-of-inventory-completion-robert-s-peabody-museum-of-archaeology-andover-ma-correction,https://www.govinfo.gov/content/pkg/FR-2018-12-21/pdf/2018-27709.pdf,12/21/2018
"Notice of Inventory Completion: Department of Anthropology Museum at the University of California, Davis, Davis, CA; Correction",Notice,Interior Department; National Park Service,"The University of California, Davis (UC Davis) has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on August 13, 2008. This notice corrects the minimum number of individuals and number of associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to UC Davis. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2018-26444,https://www.federalregister.gov/documents/2018/12/06/2018-26444/notice-of-inventory-completion-department-of-anthropology-museum-at-the-university-of-california,https://www.govinfo.gov/content/pkg/FR-2018-12-06/pdf/2018-26444.pdf,12/06/2018
"Notice of Inventory Completion: U.S. Department of Defense, Department of the Navy, Washington, DC; Correction",Notice,Interior Department; National Park Service,"The Department of the Navy has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on February 26, 2015. This notice corrects the minimum number of individuals, the number of associated funerary objects, and presents additional findings of cultural affiliation. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Department of the Navy. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2018-25123,https://www.federalregister.gov/documents/2018/11/19/2018-25123/notice-of-inventory-completion-us-department-of-defense-department-of-the-navy-washington-dc,https://www.govinfo.gov/content/pkg/FR-2018-11-19/pdf/2018-25123.pdf,11/19/2018
"Notice of Inventory Completion: U.S. Department of the Interior, Bureau of Land Management, Utah State Office, Salt Lake City, UT, and Southern Utah University, Cedar City, UT; Correction",Notice,Interior Department; National Park Service,"The U.S. Department of the Interior, Bureau of Land Management, Utah State Office has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on October 12, 2004. This notice corrects the minimum number of individuals. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Bureau of Land Management, Utah State Office. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2018-25125,https://www.federalregister.gov/documents/2018/11/19/2018-25125/notice-of-inventory-completion-us-department-of-the-interior-bureau-of-land-management-utah-state,https://www.govinfo.gov/content/pkg/FR-2018-11-19/pdf/2018-25125.pdf,11/19/2018
"Notice of Inventory Completion: Fowler Museum at the University of California Los Angeles, Los Angeles, CA; Correction",Notice,Interior Department; National Park Service,"The Fowler Museum at the University of California Los Angeles (UCLA) has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on January 27, 2016. This notice corrects the minimum number of individuals and associated funerary objects. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains and associated funerary objects should submit a written request to the Fowler Museum at UCLA. If no additional requestors come forward, transfer of control of the human remains and associated funerary objects to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2018-22790,https://www.federalregister.gov/documents/2018/10/19/2018-22790/notice-of-inventory-completion-fowler-museum-at-the-university-of-california-los-angeles-los-angeles,https://www.govinfo.gov/content/pkg/FR-2018-10-19/pdf/2018-22790.pdf,10/19/2018
"Notice of Inventory Completion: Fowler Museum at the University of California Los Angeles, Los Angeles, CA; Correction",Notice,Interior Department; National Park Service,"The Fowler Museum at the University of California Los Angeles (UCLA) has corrected an inventory of human remains and associated funerary objects, published in a Notice of Inventory Completion in the Federal Register on January 27, 2016. This notice corrects the minimum number of individuals. Lineal descendants or representatives of any Indian Tribe or Native Hawaiian organization not identified in this notice that wish to request transfer of control of these human remains should submit a written request to the Fowler Museum at UCLA. If no additional requestors come forward, transfer of control of the human remains to the lineal descendants, Indian Tribes, or Native Hawaiian organizations stated in this notice may proceed.", 2018-22791,https://www.federalregister.gov/documents/2018/10/19/2018-22791/notice-of-inventory-completion-fowler-museum-at-the-university-of-california-los-angeles-los-angeles,https://www.govinfo.gov/content/pkg/FR-2018-10-19/pdf/2018-22791.pdf,10/19/2018
